user_id,reward_redeemed,rewards_redeemed_value
1583186,4,6500
1323406,7,6850
1441277,4,8200
970587,1,2050
429673,1,4000
1156153,3,900
1442939,1,1000
799004,2,4100
416551,1,800
1184069,1,1500
502350,1,20
1465658,3,2100
1509973,5,400
686871,1,500
581554,3,1500
1181626,6,450
999493,2,4100
860566,1,2000
951907,5,10250
1044427,8,1451
363689,1,2050
824732,4,6450
1437369,6,2798
1039178,1,2050
581006,3,2100
1323704,2,250
1621508,4,3600
1017335,1,4000
1609693,4,2499
1018928,1,300
1160797,2,2350
1546018,1,0
739919,1,2050
1232812,2,2000
96347,1,0
919518,1,2050
193937,1,2050
135520,1,8000
1490530,1,1000
437680,10,21500
1121133,1,2050
1368297,1,30
1373130,2,150
1055874,3,900
1538751,1,300
539675,1,800
959007,1,2050
102199,17,43500
1450169,2,2000
1382604,2,1000
984898,5,10250
1170298,1,50
1001127,19,4988
1062747,1,1300
1516447,1,1500
859477,2,0
1401147,3,3800
548021,2,1600
1143969,1,2050
1323437,1,2000
852382,6,3750
27430,1,3000
1119804,1,50
249860,1,0
1544681,1,0
1054131,2,4100
732048,3,3000
1157991,3,500
1390246,1,3000
25152,1,2000
432123,1,1000
1460110,6,4000
1064297,6,5800
1458797,1,0
22807,6,3000
80814,2,4000
672580,3,1800
554062,2,1500
1068442,3,2100
444400,3,0
1354223,2,4100
632986,1,0
1437437,1,100
135133,1,200
1361543,2,150
1473472,5,6000
1621197,2,250
1444265,1,0
796256,5,5000
1479100,1,300
701040,7,13500
1480817,1,100
1647220,1,0
1485013,2,150
1613764,1,50
555720,3,800
210607,4,6000
1529905,1,0
207208,4,4400
553012,1,200
1502346,3,3600
1513439,2,1700
1573578,1,300
584034,8,1050
971255,1,1000
1430936,1,0
505543,1,1000
601386,1,800
1119794,4,797
915231,2,1300
1110709,1,0
850480,2,750
1373127,1,0
403298,1,10000
942153,1,250
1523351,1,800
1077570,3,0
1547295,1,0
1045999,3,800
1093519,2,4100
541258,1,800
626409,1,0
1614216,2,0
551755,2,1600
1046133,3,300
964436,2,250
813793,3,7500
845928,4,1600
825483,1,0
993725,3,5400
1541351,1,0
1458455,1,0
539295,1,800
1460631,1,300
707307,2,800
1535299,1,10000
1478791,1,2050
1013476,1,500
118976,1,0
1642540,1,0
835385,1,500
1518056,2,534
830070,1,500
192487,1,900
1495685,2,1300
630770,1,0
545543,1,0
629814,4,3200
189297,6,60000
563728,1,300
599762,1,0
722499,1,0
1081263,1,500
1397305,1,0
1626153,1,300
1109470,1,2050
618677,1,800
1455027,2,1000
1343733,2,4000
3311,20,10000
1433785,1,100
1160473,2,500
713694,1,0
1552327,4,5000
584031,2,1000
1036626,1,1000
1622922,2,800
523824,1,5000
1016297,1,0
1179936,1,300
237438,1,1500
822371,2,1300
1525219,1,0
488541,1,300
1446707,1,0
673228,3,5000
640745,1,800
1020500,2,8000
1188395,1,800
647124,3,1800
448272,1,4000
649752,3,1300
651335,1,0
580701,1,500
1653264,1,300
1635821,1,0
969622,1,200
793494,1,800
1455588,1,800
1616148,1,0
902599,4,2300
560267,3,3000
541204,3,1500
1579035,1,504
624351,1,500
1646925,1,0
490789,1,100
787747,1,0
916537,1,1000
344463,2,2400
537736,1,800
730352,2,0
121934,3,7000
581871,2,500
630816,1,500
703218,2,800
540108,3,90000
1329679,5,4099
503717,1,2050
57612,2,8500
424893,1,2050
630636,1,1000
1346949,1,0
1027484,1,300
644267,4,800
696635,1,0
552764,1,1000
551821,2,1600
909630,1,2050
1508612,2,500
188552,1,6000
709655,3,1500
248297,4,4000
212920,1,800
540872,3,500
933976,4,10200
82571,6,14500
1081297,1,0
1350380,1,800
551268,1,800
1188139,3,2600
1455090,1,0
1457952,3,2100
546564,1,500
932964,1,300
681718,1,0
1455806,1,0
1091237,1,100
525753,1,10000
825900,1,300
623960,2,0
687152,2,1600
660671,2,1600
1119336,2,0
1352875,3,500
1549809,1,2050
429433,1,1500
246832,3,200
663439,2,800
1633314,1,800
224313,1,0
842439,2,1500
1646058,1,0
601368,2,0
1570609,1,99
623986,3,6500
1004558,2,500
557164,2,1000
736006,1,0
551450,7,7000
570095,1,0
980072,3,1000
1635267,1,0
1089043,3,20000
1515297,1,0
1156317,1,2050
1429523,6,1800
335250,1,1500
553180,1,1500
525279,10,20000
1219376,1,2050
1582317,3,5500
849466,1,300
846407,1,800
853024,1,2500
39512,3,3000
1020993,1,1300
735264,1,2050
46722,1,800
1098157,4,3600
99406,1,1500
338137,3,2800
736796,4,4700
1366270,27,45350
1236236,2,1800
1382427,1,0
625145,1,2050
1460340,3,2800
1458969,4,0
1627759,2,198
1555373,1,99
802206,1,1700
1630567,1,0
1133580,1,8000
1000700,8,3996
115437,1,2800
1499031,1,1000
989322,5,2998
1073826,5,2899
1364308,1,2050
815127,1,1000
1093160,2,100
816740,1,2050
864136,1,1000
1642954,2,4100
1094109,1,2050
85209,1,800
1652971,1,300
1384860,4,7500
1144132,1,1000
256286,1,2050
971430,1,800
1082327,2,600
1423043,1,500
915334,1,2050
1141227,4,6500
98526,1,800
834578,2,899
823046,1,500
286926,1,500
1640611,1,0
627690,1,2050
1648683,1,0
704649,3,12000
797432,1,2050
1102011,1,800
1406645,1,300
1174354,2,2000
98677,1,2000
1652602,1,500
855307,1,2500
1227401,1,800
808231,1,800
342764,10,21000
1138647,1,300
1224467,1,0
551151,1,300
1178908,1,2050
510620,1,1000
1232502,2,4100
1058570,1,300
1186754,1,2050
40878,2,1600
1504634,1,800
1402632,2,3000
603413,1,2050
955798,1,800
1139009,2,8000
1517487,4,1769
1511872,1,50
919841,1,1000
1529668,1,0
120168,1,0
832472,1,500
830135,1,2050
614683,1,0
29920,3,6000
998572,1,1000
1115107,2,3200
1640092,1,0
1354976,1,0
1107106,1,1500
1232698,1,2050
330740,4,400
660345,1,2050
1422958,2,1000
745290,3,2650
1559809,1,120
733284,1,1000
824738,3,3500
1175178,4,3400
796200,9,7600
1528461,1,0
1230481,4,200
1531341,1,500
746685,1,0
1233818,4,5950
858100,1,800
39890,1,6000
967998,2,0
1232314,1,50
914557,1,300
28924,18,14500
1353749,1,50
946916,3,2000
1061602,2,4100
863100,1,2050
1082888,4,2000
441427,3,9000
1632675,1,300
577620,1,800
1362922,1,0
597764,1,1500
36966,3,4500
577059,6,15000
1319853,3,4400
1420106,1,1000
928415,1,500
1227462,2,200
1337414,1,0
689168,2,2000
1186931,2,2350
155766,2,0
821276,1,0
829270,3,4000
614642,2,500
1340817,2,200
83341,1,10000
849995,3,6000
1398018,3,200
163709,1,18000
124416,1,1999
1419447,1,99
1045189,1,800
1119226,2,0
747918,1,0
946757,6,2697
1134611,1,2050
1459155,1,100
84719,11,11000
1651452,1,250
590525,1,4000
584897,6,4800
1155369,3,2600
1471299,3,900
903552,1,1000
1177880,1,1300
501586,3,3000
427822,6,13000
700433,1,1500
682000,3,800
1038335,1,0
549747,1,2000
1377914,1,1000
1097711,3,1400
1353595,1,50
1321427,1,1000
566259,1,50
1078410,3,5400
521732,6,6000
1422656,1,800
445337,4,300
714978,2,800
749321,3,90
1368134,2,100
1651011,1,300
802563,1,2050
4020,1,1000
1075491,1,1300
1178708,2,150
29357,3,6200
1531976,1,250
659443,4,5400
1641079,1,0
505881,3,3000
1506435,1,300
434718,1,1000
27263,2,11000
434583,1,1200
428322,1,300
80404,6,25500
364122,2,3050
123820,6,12000
713677,4,1800
1559720,1,0
1509031,4,6450
708986,2,1500
1610875,1,750
928023,4,3200
363532,1,0
1390520,24,3447
1449674,1,0
391,1,1700
1431786,1,300
1464506,10,3000
635396,1,800
964480,1,300
1122816,2,600
445009,1,1500
1399743,1,300
55929,1,3000
123971,2,60
781586,15,2000
374245,1,6500
540828,3,2400
344647,1,0
1492078,2,2000
208298,2,11500
1121361,3,900
13045,2,9500
1630234,1,0
1640839,1,0
103058,3,75000
780909,1,500
1095885,1,0
1106870,1,2050
1004988,16,45500
916694,1,800
178111,1,0
863058,1,250
672777,2,800
1645898,1,0
1636254,1,0
787809,2,2000
699855,3,3000
683774,2,5000
785032,2,2350
361014,1,5000
445014,5,6000
621850,1,800
432008,8,6600
732222,4,6500
735773,2,800
818755,12,7400
425152,1,4000
1642062,1,500
1561708,1,2000
1229407,2,4100
1231548,2,4100
239871,3,3500
259347,2,2850
961289,1,2050
1357596,2,200
1649855,1,300
1010985,1,300
979586,1,0
469469,1,100
1577828,1,150
644805,1,800
830090,1,0
1116303,1,2050
786678,1,2000
614460,1,500
855981,1,1110
1391264,1,1000
1506888,1,500
635836,1,800
1422176,1,800
815376,2,2600
1569538,1,300
793322,2,500
549354,5,4000
106152,1,4999
984367,1,300
1024711,1,300
570072,2,0
1590978,1,250
1432867,2,3000
1420485,1,0
902476,6,6000
328395,1,300
1526605,1,0
1383633,1,300
379811,2,2000
627768,1,0
444545,1,0
840422,1,1000
650928,1,800
597061,2,1600
255782,1,1000
1358888,1,500
746124,4,2000
1395591,1,250
1525373,1,0
33269,1,10000
1085316,1,2050
730965,7,12000
1477878,1,500
83988,3,4500
1345514,1,3000
1645772,1,0
207400,1,2000
1649529,2,198
641278,2,2000
494168,3,700
957912,1,2000
684801,1,10000
1361778,3,2400
152128,1,1500
1319607,3,6000
536920,3,2100
1645818,1,0
88987,1,1500
106372,1,1800
119750,3,2000
245715,8,80000
689578,2,1000
244104,1,5000
10942,6,20000
632500,3,3000
248541,1,5000
1108610,5,3700
1127669,1,1000
849646,5,3400
866814,1,0
175574,5,6000
433015,5,700
630614,4,10000
651429,2,1600
1566284,1,0
1101325,1,1500
615342,1,1000
116610,2,1000
1376969,1,1000
1016935,1,0
55168,1,800
1056710,1,2050
935683,1,300
992704,3,3650
623626,12,10000
1224964,9,15950
1649026,1,300
1006032,1,1250
1178865,1,2050
1573724,1,110
1170909,1,2050
844383,1,50
435087,1,1500
519777,1,2050
802882,5,10000
1025541,1,2050
1406081,1,800
527305,1,1000
519737,2,1600
1583287,3,698
307477,2,2000
106042,1,0
906893,1,2050
663119,1,1500
1648754,1,800
1457270,6,4000
1474275,2,4100
710747,1,500
1175633,3,297
1073412,1,2050
515033,1,2050
1224578,1,300
111771,2,4900
1366909,4,8000
1338528,1,0
654976,1,300
1092942,21,27698
1008208,1,800
346473,4,4000
117635,1,800
534965,1,3500
955844,12,5800
670804,1,800
1559619,1,2050
1105217,1,1500
1172651,1,300
1404438,1,300
1058218,2,2850
1644624,1,300
689405,5,4800
1082650,2,1600
867866,1,2500
1413825,1,0
1098252,2,150
429637,3,3000
1218631,1,0
711037,1,1200
636926,2,2000
532870,4,3200
188962,4,3250
616427,2,800
1625380,1,0
1562645,1,0
1077011,2,2350
120445,2,1000
922119,1,1000
710720,1,500
1624475,1,0
921719,1,2050
867447,1,1000
570589,1,800
1118773,1,2050
1111226,1,2050
1162737,2,198
150389,1,800
1193124,1,1000
701466,3,7000
1003905,2,2500
1585732,1,300
1112343,1,200
854883,1,1500
779141,2,4100
1644794,1,0
794159,1,0
908128,2,4400
1538524,2,51
1128359,1,800
1453488,1,0
56603,8,17500
1169422,1,300
39123,1,2050
1097595,1,0
187179,1,300
1325850,2,1700
1107655,2,100
1630768,1,0
721643,1,50
1137262,2,150
335530,1,3200
332757,1,0
1402442,1,300
711893,5,125
1155150,1,1600
434601,4,1798
1435331,4,5950
1339117,1,0
840212,13,22150
716329,2,2400
1376299,4,3300
570631,1,0
1055743,1,600
902525,1,0
1184477,1,300
616298,1,500
443437,2,2400
1131923,3,5550
651832,1,0
564684,2,1300
1128243,1,3000
923371,1,200
1424057,1,1300
1530561,1,0
830072,2,2500
137677,1,2500
1359640,2,0
560175,2,500
192833,2,1700
1217931,1,2050
570948,3,3000
1084059,2,5000
631222,3,2100
1016699,1,300
1472094,2,1099
425540,1,2050
587639,10,11000
1192175,1,800
1451573,1,104
1132944,1,50
9658,1,3000
426489,1,0
660232,3,2050
1153992,6,0
1406891,2,0
1157794,2,300
1627847,1,50
996699,3,900
1092523,4,250
819574,1,800
1469269,1,500
1132590,1,50
1472478,1,50
1405225,1,500
176430,1,99
553975,2,0
928030,2,1300
435582,3,3000
442101,1,300
1373278,2,2300
1548381,1,300
589220,1,800
997761,3,1000
581362,1,1500
562008,1,0
682094,2,1000
1391036,1,500
1235175,1,1300
742591,1,0
910011,2,1650
45287,1,800
1567151,1,2050
90115,1,2500
564391,3,2400
1532737,1,1200
122051,1,9999
862791,1,25
1493266,1,2050
574099,2,1000
399025,1,0
909515,1,1800
1415405,3,1500
977731,2,750
427080,1,600
1431656,1,0
720961,1,200
647790,3,1500
1359878,2,500
1361387,2,1800
1533868,1,2050
1330287,1,500
1380816,1,500
1523021,1,110
506358,2,2000
855246,3,3000
1125839,2,500
1176272,2,1300
583944,1,800
986040,2,1000
1366382,1,100
1448171,1,0
47457,1,1500
1390524,1,50
1226430,1,0
159744,1,2000
691278,1,0
419730,1,0
103803,1,1500
780006,1,800
945760,1,300
1570424,5,10250
927364,1,2050
1468240,2,1000
1234626,2,0
1464824,1,2500
564349,2,0
1109435,1,2050
666234,2,1000
641098,1,800
1431293,1,0
1646280,1,300
778871,4,4000
590438,2,1300
1054812,1,200
549362,2,1000
1564079,3,2400
1346766,1,300
902556,3,600
617869,3,4700
1643107,1,800
1552771,2,100
550323,3,1300
1014895,2,1500
443688,1,2050
1635729,1,0
1137164,1,800
1566413,1,600
844839,1,400
1499042,1,300
943556,3,3600
1473954,3,1500
444325,3,6150
1325337,2,800
1577890,1,800
709332,1,2050
1232069,2,1600
725008,1,0
1393186,3,500
1082232,3,1750
684792,1,500
1222124,2,5400
192897,2,1000
1634182,1,0
153458,1,10000
929634,2,800
450350,1,1750
1522859,1,7000
826175,1,0
698737,1,2000
1629588,1,0
709027,2,500
741102,3,800
600706,2,1300
32140,2,2400
575286,5,4000
1520126,1,0
32324,3,9000
1167239,3,1300
98598,2,12000
1625689,3,500
633365,2,1000
1645708,1,1500
331138,1,1000
1121853,1,800
1645658,1,800
559751,2,800
1061925,1,800
696372,2,500
1156554,1,0
978475,2,2000
960414,1,2050
1071135,2,1000
1416239,1,1000
1525265,1,0
30490,10,20000
200161,6,970
1191240,4,0
1030155,1,0
184379,3,3000
831489,6,6000
998500,2,800
1192231,2,1300
659065,2,1500
969618,1,0
796693,1,1000
587249,4,1500
861175,1,500
1530996,1,0
245610,1,10000
909080,3,1250
560702,1,500
556021,1,1000
1376982,1,300
1454898,1,0
351875,1,170
742956,2,500
557148,1,500
1089852,3,6400
241625,2,5000
433029,1,3000
1008408,1,3500
1432018,2,1300
1187007,2,1600
157522,1,5000
1073924,1,1500
1499773,5,4200
684336,1,2050
1021229,1,800
554449,3,150000
970894,1,2050
511126,1,0
730081,2,1500
1353889,2,1500
121280,1,800
1518427,2,2000
1345811,6,5000
742060,1,2050
632152,1,800
578477,1,500
521584,3,3500
1515081,3,1800
1004785,1,1000
19654,2,0
1321353,1,100
51033,1,2050
976468,6,1800
1639035,1,800
532064,1,4000
1102338,17,34850
1430073,1,1500
1188751,4,400
952129,1,300
1110484,2,599
564847,6,15000
1497572,1,50
851146,1,0
614819,1,880
454694,1,1500
1107118,3,200
1078523,6,11500
913890,1,2050
1032471,3,6600
816844,2,8000
1072063,1,500
342867,2,8000
2892,2,4100
850813,1,2050
1098204,1,500
1080383,1,700
834276,1,2050
689487,1,1500
1497728,1,1500
748788,1,1250
1173859,3,350
1621792,1,99
1186929,1,2050
97005,3,6000
518496,1,0
580848,1,800
196732,2,600
578129,1,1000
577619,5,3750
34616,2,800
558907,1,1000
444059,1,100
661286,1,1000
1231018,5,4000
939390,1,2050
1456560,3,1000
104480,5,7000
1473957,1,500
1521441,2,198
823281,1,1000
950913,1,2050
725460,1,500
547754,2,1600
1562977,1,1000
742896,1,0
707735,4,3400
1141912,1,1000
1115553,5,350
578060,1,2050
1028714,1,5000
1518920,1,50
809169,1,3000
1016949,1,2050
952472,1,500
1629255,1,0
1634538,1,0
155220,1,0
926469,1,250
31864,1,4000
1493812,4,1200
605884,1,500
1064613,1,50
44353,4,8000
1109623,1,50
1188611,2,500
1097041,1,1500
359735,1,50000
1361458,4,2750
1373770,3,300
1422161,3,1599
1124443,1,500
1617085,1,50
796266,1,0
444037,6,6000
375909,1,2050
1524040,3,998
1636954,1,0
645399,2,0
842711,7,4750
669650,1,0
800360,2,500
414230,2,20000
1066186,1,800
525369,4,40000
737828,2,1250
1544572,1,50
802399,2,2350
29187,1,2000
904562,2,2000
122001,18,18000
1135407,1,150
1136704,1,200
517134,1,0
526609,2,15000
1411012,1,99
1465328,1,50
1054896,3,900
1349946,2,500
553370,1,0
129476,1,0
80760,1,1500
1396053,2,600
177985,1,2500
1435258,3,6150
546807,1,0
90057,2,12500
780111,3,2600
1368392,1,800
553380,1,800
1424210,1,0
979984,1,0
17635,7,65000
1444500,2,198
