merchant_id,user_id,amount_spent,visits
1559,149057,10260,23
1559,560560,10147,22
1559,356060,10157,55
1559,85626,10204,33
1559,564801,10055,30
1559,779711,10339,25
1559,555549,10025,20
1105,735110,10401,29
1056,164913,10127,23
1190,45788,10340,4
1190,442215,10830,7
1442,1568305,7150,21
1442,1583186,7308,19
1442,196591,7054,24
1442,688427,7310,32
1442,598235,7057,27
1442,54332,7287,26
1442,41236,7071,23
1442,654656,7279,23
1442,112365,7128,37
1442,289339,7524,15
1442,819293,7160,17
1442,596485,7076,24
1442,591488,7204,15
1442,788949,7140,13
1442,207682,7209,14
1442,660624,7214,17
1442,632361,7075,32
1442,645680,7110,17
102,641841,10035,29
102,60777,10000,30
102,937963,10560,36
102,582050,10115,29
102,1682,10455,18
1467,1477765,10260,18
1467,937492,10016,56
1467,532323,10120,36
1467,532660,10120,16
1467,925940,10000,7
1467,516885,10090,27
1332,622285,10272,20
1332,97716,10218,26
1332,429708,10205,47
1332,437997,10359,7
1038,523533,10456,18
1038,635031,10361,24
1038,516738,10512,21
1038,1078523,10100,36
1038,1459011,10145,32
1038,725860,10464,24
1038,202876,10153,29
1038,197722,10356,24
1038,46600,10158,23
1038,175477,10275,31
1038,747020,10129,26
1038,101211,10197,27
1038,1393318,10428,20
1038,639163,10158,32
1038,743574,10217,37
1038,673525,10787,42
1038,216589,10307,30
1038,342508,10059,23
1038,657310,10758,18
1038,121200,10486,15
1038,51985,10348,15
1038,1164065,12463,6
1038,724923,10021,23
1038,1158382,10682,14
1038,357220,10237,36
1038,217253,10632,19
1038,648835,10140,13
1038,638505,11039,11
1038,780927,10253,22
1038,527631,10270,25
1038,354398,10046,23
1038,218271,10092,55
1038,553641,10266,21
1038,448620,10516,23
1038,208201,10713,9
1235,356060,10295,54
1235,550494,10050,44
1235,59012,10056,38
1235,60635,10008,37
1235,60777,10180,34
1235,58992,10140,39
1235,330539,10599,11
1235,1373332,27000,5
1235,1355989,57000,3
1235,1373279,55000,4
1235,1033321,10500,9
1235,638243,11050,2
1235,343749,10290,13
1259,430035,10029,38
1259,429450,10089,40
1259,360749,10165,35
1259,429448,10800,21
1259,1045851,10050,2
1259,189722,10220,28
1259,203681,10130,27
1259,619155,10100,13
1259,154684,10200,4
781,718173,10000,18
781,737949,10080,16
1134,201797,10146,13
1375,427633,10494,18
1375,503774,10038,51
1375,823262,10687,27
1375,504478,10005,21
1375,435087,10049,23
1375,441071,10207,56
1375,503463,10083,13
1375,518605,10072,54
969,120018,10231,31
969,152455,10010,42
969,330244,10290,26
969,364071,10304,21
969,95456,10094,61
969,137425,10187,29
969,135388,10257,26
969,354428,10235,35
969,520303,10061,40
969,123223,10011,31
969,136537,10082,55
969,102249,10116,27
969,162023,10220,27
969,343898,10514,21
969,190034,12076,35
969,216742,10057,59
969,333977,10453,23
969,122476,10235,34
969,175010,10674,24
969,100761,10063,53
969,150678,10015,44
969,152494,10071,46
969,221728,10077,30
969,227450,10444,31
969,164031,10282,47
969,174860,10210,39
969,150855,10052,43
969,137631,10166,50
969,164606,10056,21
969,152608,10187,20
969,363534,14200,9
403,150414,2073,11
403,947515,2053,13
403,98321,2250,7
403,192137,2090,8
403,1048365,2430,1
403,1364104,2430,5
403,551136,2222,8
403,110069,2058,6
403,514981,2082,2
403,102754,2140,9
403,158555,2240,5
403,554637,2095,12
403,725436,2140,5
403,122073,2250,6
403,163710,2060,7
403,188433,2030,10
403,582650,2130,5
403,820051,2200,10
403,101180,2080,4
403,30824,2200,8
403,581481,2003,9
403,119433,2140,6
403,100864,2370,4
403,199987,2280,8
403,26126,2000,5
403,413469,2524,8
403,807730,2030,3
403,336523,2228,4
403,39146,2220,7
403,122586,2130,7
403,333832,2110,5
403,193194,2539,7
403,121415,2000,7
403,118219,2220,12
403,10426,2030,5
403,121754,2590,3
403,150716,2570,5
403,197787,2380,3
403,117654,2960,5
403,121766,2270,4
403,20785,2050,5
403,1963,2290,2
403,160150,5000,3
403,100668,3000,4
1470,845339,10336,35
1470,829800,12081,8
1470,661607,10289,26
1470,332664,10220,35
1293,53233,11100,9
1293,45844,11966,6
1293,123747,12114,7
1293,120483,10770,9
1293,686428,10022,15
1423,187944,10130,8
1423,1540066,18000,1
1423,446523,10210,17
1423,435012,10015,57
1423,196304,10020,8
1423,506421,10173,18
1423,545045,50000,1
401,1588031,2130,7
401,1622629,2010,4
401,1035652,2150,8
401,718195,2120,9
401,707009,2030,5
401,903144,2010,7
401,718737,2110,6
401,81318,2060,7
401,707477,2080,9
401,862555,2273,6
401,713596,2159,10
401,190077,2010,11
401,740838,2055,14
401,1478244,2139,10
401,1432063,2220,6
401,912292,2020,8
401,1474506,2440,2
401,1384555,2160,12
401,1466921,2210,2
401,907433,2120,8
401,251608,2080,2
401,928313,2020,9
401,1125518,2040,4
401,99878,2020,6
401,688320,2060,11
401,707095,2240,8
401,360702,2300,7
401,718083,2015,11
401,986583,2170,9
401,1002889,2330,10
401,447096,2190,9
401,197922,2230,5
401,30935,2190,5
401,709638,2030,9
401,197924,2140,5
401,34418,2220,7
401,17669,2270,6
401,100907,2190,9
401,124404,2050,6
401,2069,2230,3
401,135372,2500,2
285,830072,10009,40
